#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A42217
#Date Time: 2018-10-11 13:50:24.135
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 3 V/div Offset: -6 V

Time (s),Channel 1 (V)
-0.0030521250000000002,11.971521888064155
-0.0030513750000000003,11.967802645526234
-0.0030506250000000004,11.971521888064155
-0.0030498750000000001,11.971521888064157
-0.0030491250000000002,11.975241130602075
-0.0030483750000000003,11.975241130602075
-0.0030476250000000004,11.971521888064155
-0.0030468750000000001,11.971521888064155
-0.0030461250000000002,11.971521888064155
-0.0030453750000000003,11.971521888064155
-0.0030446250000000005,11.971521888064155
-0.0030438750000000001,11.971521888064155
-0.0030431250000000003,11.967802645526234
-0.0030423750000000004,11.960364160450395
-0.0030416250000000001,11.964083402988317
-0.0030408750000000002,11.967802645526234
-0.0030401250000000003,11.971521888064155
-0.0030393750000000004,11.971521888064155
-0.0030386250000000001,11.967802645526234
-0.0030378750000000002,11.971521888064155
-0.0030371250000000003,11.971521888064155
-0.0030363750000000004,11.971521888064155
-0.0030356250000000001,11.964083402988315
-0.0030348750000000002,11.967802645526234
-0.0030341250000000004,11.971521888064155
-0.003033375,11.975241130602075
-0.0030326250000000002,11.975241130602075
-0.0030318750000000003,11.975241130602075
-0.0030311250000000004,11.971521888064155
-0.0030303750000000001,11.971521888064155
-0.0030296250000000002,11.971521888064155
-0.0030288750000000003,11.971521888064155
-0.0030281250000000004,11.975241130602074
-0.0030273750000000001,11.967802645526234
-0.0030266250000000002,11.967802645526234
-0.0030258750000000004,11.971521888064155
-0.003025125,11.971521888064155
-0.0030243750000000002,11.971521888064155
-0.0030236250000000003,11.967802645526234
-0.0030228750000000004,11.967802645526234
-0.0030221250000000001,11.971521888064151
-0.0030213750000000002,11.964083402988315
-0.0030206250000000003,11.967802645526234
-0.0030198750000000004,11.967802645526234
-0.0030191250000000001,11.975241130602075
-0.0030183750000000002,11.975241130602075
-0.0030176250000000003,11.975241130602075
-0.0030168750000000005,11.971521888064157
